Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
sanhuuueza;0.298469;0.259694;0.220918;0.220918
karitoinexplikb;0.675;0;0;0.325
Natacha16968942;0.333333;0;0.333333;0.333333
Fabiandolfi;0.675;0.325;0;0
Ignacio32752209;0.303571;0.255952;0.166667;0.273809
Jegor75935262;0.277778;0.166667;0.277778;0.277778
iturra_pau;0;0;0.333333;0.666667
01101100Cat;1;0;0;0
karleb7;1;0;0;0
cayul_h;0.207143;0.264286;0.228571;0.3
Sebasti29669882;0.303571;0.241071;0.183036;0.272321
Luiscolomerago1;0.267857;0.196429;0.267857;0.267857
ForoChile;0;1;0;0
Andrea30585180;0.5;0;0.5;0
YohanaElgueta2;0;0;0.333333;0.666667
Dany2784;0.21645;0.292208;0.245671;0.245671
Clau15656394;0;1;0;0
Vivi38465885;1;0;0;0
cinostrozas;0.273214;0.305357;0.173214;0.248214
invicente;0.247619;0.3;0.17381;0.278571
ElizabethSez2;0.221939;0.298469;0.257653;0.221939
AlexJavierSan11;0.232732;0.296703;0.232732;0.237834
evansito8;0.5;0;0;0.5
valemilesjae;0.22449;0.298469;0.215561;0.26148
waimallen;0.240306;0.306122;0.236735;0.216837
stange_anita;0;1;0;0
jennife27675902;0;0;0;1
BeroizaMarcelo;0.263158;0.342105;0;0.394737
Claudio25234425;0.296703;0.236813;0.296703;0.16978
katerinneRc;0;0;0;1
Eileen44001570;0.259694;0.298469;0.220918;0.220918
Daniela93687831;0.241071;0.301339;0.232887;0.224702
Fernasilvaval;0.234432;0.296703;0.234432;0.234432
jenny23536222;0;0;1;0
cristob17664819;1;0;0;0
MarioPerezHer19;0.289286;0.210714;0.233929;0.266071
Remigio73;0;1;0;0
GabrielaPalavi2;0;0;0.5;0.5
PazHayet;1;0;0;0
leoleokeleo;0.296703;0.26511;0.215659;0.222527
JorqueraEdita;0.228853;0.304511;0.233318;0.233318
Karla576777844;0;0;0;1
Antonio81410206;0.325;0.675;0;0
MariaJo30612917;0.5;0;0.5;0
Elisabe44709010;0.270677;0.323308;0;0.406015
MARCELOOSSES15;0.304511;0.279605;0.18703;0.228853
Chato45242685;0.267857;0.196429;0.267857;0.267857
AnaMara01417836;0.278316;0.305357;0.181122;0.235204
naldo135;0.258929;0.294643;0.205357;0.241071
Gabyvaldic;0.222222;0.305556;0.222222;0.25
Delyta10;0.333333;0;0.333333;0.333333
Linda46322071;0;1;0;0
Pedro30387933;0;0;1;0
betyfarias2;0.285714;0.202381;0.285714;0.22619
